Straßennummer;Straßenname;Folge;Hausnr. (von);Zusatz zur Hausnr (von);Hausnr. (bis);Zusatz zur Hausnr (bis);Ortsbezirk;Stadtteil Name;Stadtbezirk;Stadtbezirksvorst;Schiedsamtsbezirk;Sozialrathausbezirk;Sozialbezirk;Polizeirevier;Postleitzahl
1;"Abtsgäßchen";"";"";"";"";"";"5 ";"Sachsenhausen-Nord";"300";"5.31";"5A";"A6";20;"8";60594
2;"Achenbachstraße";"";"";"";"";"";"5 ";"Sachsenhausen-Nord";"322";"5.33";"5A";"A6";21;"8";60596
3;"Ackermannstraße";"";"";"";"";"";"1 ";"Gallus";"154";"1.05";" 1";"A3";8;"16";60326
4;"Adalbert-Stifter-Straße";"gerade";"";"";"";"";"9 ";"Dornbusch";"442";"9.68";" 9";"B3";38;"12";60431
4;"Adalbert-Stifter-Straße";"ungerade";"";"";"";"";"9 ";"Ginnheim";"441";"9.67";" 9";"A2";38;"12";60431
5;"Adalbertstraße";"gerade";"";"";"";"";"2 ";"Bockenheim";"350";"2.13";" 2";"A4";25;"13";60486
5;"Adalbertstraße";"ungerade";"";"";"";"";"2 ";"Bockenheim";"341";"2.13";" 2";"A4";25;"13";60486
6;"Adam-Opel-Straße";"";"";"";"";"";"11";"Fechenheim";"510";"11.77";"11";"A1";48;"18";60386
7;"Adelheidstraße";"";"";"";"";"";"9 ";"Dornbusch";"462";"9.69";" 9";"B3";41;"12";60433
8;"Adelonstraße";"";"";"";"";"";"6 ";"Höchst";"570";"6.44";"6C";"A7";54;"17";65929
9;"Adickesallee";"gerade";"";"";"";"";"3 ";"Nordend-West";"202";"3.16";" 3";"B3";11;"3";60322
9;"Adickesallee";"ungerade";"";"";"";"";"3 ";"Nordend-West";"203";"3.16";" 3";"B3";11;"3";60322
10;"Adlerflychtplatz";"";"";"";"";"";"3 ";"Nordend-West";"201";"3.21";" 3";"B3";11;"3";60318
11;"Adlerflychtstraße";"";"";"";"";"";"3 ";"Nordend-West";"201";"3.21";" 3";"B3";11;"3";60318
12;"Adolf-Haeuser-Straße";"";"";"";"";"";"6 ";"Höchst";"591";"6.46";"6C";"A7";54;"17";65929
13;"Adolf-Miersch-Straße";"";"";"";"";"";"5 ";"Niederrad";"372";"5.36";"5B";"A6";28;"10";60528
14;"Adolf-Reichwein-Straße";"";"";"";"";"";"9 ";"Dornbusch";"462";"9.69";" 9";"B3";41;"12";60320
15;"Adolfstraße";"";"";"";"";"";"5 ";"Niederrad";"372";"5.36";"5B";"A6";28;"10";60528
16;"Adolph-von-Holzhausen-Park";"";"";"";"";"";"3 ";"Nordend-West";"203";"3.16";" 3";"B3";11;"3";60322
17;"Ährenstraße";"";"";"";"";"";"1 ";"Gutleutviertel";"151";"1.04";" 1";"A3";2;"4";60327
18;"Affentorplatz";"gerade";"";"";"";"";"5 ";"Sachsenhausen-Nord";"300";"5.31";"5A";"A6";20;"8";60594
18;"Affentorplatz";"ungerade";"1";"";"";"";"5 ";"Sachsenhausen-Nord";"300";"5.31";"5A";"A6";20;"8";60594
18;"Affentorplatz";"ungerade";"5";"";"7";"";"5 ";"Sachsenhausen-Nord";"331";"5.31";"5A";"A6";20;"8";60594
19;"Ahornstraße";"";"";"";"";"";"6 ";"Griesheim";"552";"6.41";"6A";"A3";52;"16";65933
20;"Ahrtalstraße";"";"";"";"";"";"6 ";"Schwanheim";"531";"6.38";"6A";"A6";50;"10";60529
21;"Akazienstraße";"";"";"";"";"";"6 ";"Griesheim";"552";"6.41";"6A";"A3";52;"16";65933
22;"Albanusstraße";"";"";"";"";"";"6 ";"Höchst";"591";"6.46";"6C";"A7";54;"17";65929
23;"Albert-Blank-Straße";"";"";"";"";"";"6 ";"Sindlingen";"602";"6.48";"6B";"A7";55;"17";65931
24;"Albert-Linel-Straße";"";"";"";"";"";"2 ";"Bockenheim";"163";"2.15";" 2";"A4";10;"13";60486
25;"Albusstraße";"";"";"";"";"";"1 ";"Innenstadt";"070";"1.01";" 1";"A1";1;"1";60313
26;"Alemannenweg";"";"";"";"";"";"6 ";"Unterliederbach";"622";"6.52";"6C";"A7";57;"17";65929
27;"Alexanderstraße";"gerade";"2";"";"34";"";"7 ";"Rödelheim";"402";"7.56";" 7";"A4";33;"11";60489
27;"Alexanderstraße";"gerade";"36";"";"126";"";"7 ";"Rödelheim";"401";"7.55";" 7";"A4";32;"11";60489
27;"Alexanderstraße";"ungerade";"1";"";"29";"";"7 ";"Rödelheim";"402";"7.56";" 7";"A4";33;"11";60489
27;"Alexanderstraße";"ungerade";"31";"";"97";"";"7 ";"Rödelheim";"401";"7.55";" 7";"A4";32;"11";60489
28;"Alfred-Brehm-Platz";"";"";"";"";"";"4 ";"Ostend";"140";"4.26";" 4";"A1";6;"5";60316
29;"Allendorfer Straße";"gerade";"18";"";"50";"";"9 ";"Dornbusch";"462";"9.69";" 9";"B3";41;"12";60433
29;"Allendorfer Straße";"gerade";"52";"";"76";"";"9 ";"Eschersheim";"452";"9.66";" 9";"B3";39;"12";60433
29;"Allendorfer Straße";"ungerade";"1";"";"23";"";"9 ";"Dornbusch";"462";"9.69";" 9";"B3";41;"12";60433
29;"Allendorfer Straße";"ungerade";"37";"";"85";"";"9 ";"Eschersheim";"452";"9.66";" 9";"B3";39;"12";60433
30;"Allerheiligenstraße";"gerade";"";"";"";"";"1 ";"Innenstadt";"070";"1.01";" 1";"A1";1;"1";60313
30;"Allerheiligenstraße";"ungerade";"";"";"";"";"1 ";"Innenstadt";"080";"1.01";" 1";"A1";1;"1";60313
31;"Allerheiligentor";"gerade";"";"";"";"";"1 ";"Innenstadt";"080";"1.01";" 1";"A1";1;"1";60311
