Straßennummer;Straßenname;Folge;Hausnr. (von);Zusatz zur Hausnr (von);Hausnr. (bis);Zusatz zur Hausnr (bis);Ortsbezirk;Stadtteil Name;Stadtbezirk;Stadtbezirksvorst;Schiedsleutebezirk;Sozialrathaus Name;Polizeirevier;Postleitzahl
;Alter Postweg;ungerade;1;;25;;;;;;;;;64385
;Alter Weg;ungerade;1;;49;;;;;;;;;64385
;Am Berg;ungerade;1;;11;;;;;;;;;64385
;Am Eichelberg;ungerade;1;;19;;;;;;;;;64385
;Am Flutgraben;ungerade;1;;7;;;;;;;;;64385
;Am Fuchsstein;ungerade;1;;1;;;;;;;;;64385
;Am Großen Stein;ungerade;1;;31;;;;;;;;;64385
;Am Lackenberg;ungerade;1;;3;;;;;;;;;64385
;Am Morsberg;ungerade;1;;27;;;;;;;;;64385
;Am Pfeifferssteg;ungerade;1;;5;;;;;;;;;64385
;Am Schafacker;ungerade;1;;27;;;;;;;;;64385
;Am Schloßberg;ungerade;1;;3;;;;;;;;;64385
;Am Schnellerts;ungerade;1;;5;;;;;;;;;64385
;Am Sonnenberg;ungerade;1;;29;;;;;;;;;64385
;Am Sägewerk;ungerade;1;;1;;;;;;;;;64385
;Am Tannenberg;ungerade;1;;9;;;;;;;;;64385
;Am Viertelsberg;ungerade;1;;7;;;;;;;;;64385
;Amselweg;ungerade;1;;27;;;;;;;;;64385
;An der Beine;ungerade;1;;7;;;;;;;;;64385
;An der Ruh;ungerade;1;;7;;;;;;;;;64385
;Außenliegend;ungerade;1;;1;;;;;;;;;64385
;Außerhalb;ungerade;1;;3;;;;;;;;;64385
;Birkenhag;ungerade;1;;43;;;;;;;;;64385
;Blauer Weg;ungerade;1;;3;;;;;;;;;64385
;Blütenstraße;ungerade;1;;11;;;;;;;;;64385
;Brunnenstraße;ungerade;1;;1;;;;;;;;;64385
;Brühlstraße;ungerade;1;;17;;;;;;;;;64385
;Buchenstraße;ungerade;1;;15;;;;;;;;;64385
;Burgviertel;ungerade;1;;21;;;;;;;;;64385
;Crumbacher Straße;ungerade;1;;25;;;;;;;;;64385
;Dachsbergweg;ungerade;1;;1;;;;;;;;;64385
;Darmstädter Straße;ungerade;1;;45;;;;;;;;;64385
;Dorfweg;ungerade;1;;15;;;;;;;;;64385
;Eberbach;ungerade;1;;9;;;;;;;;;64385
;Eberbacher Weg;ungerade;1;;37;;;;;;;;;64385
;Eichendorffstraße;ungerade;1;;17;;;;;;;;;64385
;Erzbacher Weg;ungerade;1;;37;;;;;;;;;64385
;Finkenweg;ungerade;1;;7;;;;;;;;;64385
;Freiheitsstraße;ungerade;1;;33;;;;;;;;;64385
;Frohnhofen;ungerade;1;;5;;;;;;;;;64385
;Gartenstraße;ungerade;1;;43;;;;;;;;;64385
;Georg-Anthes-Straße;ungerade;1;;3;;;;;;;;;64385
;Goethestraße;ungerade;1;;53;;;;;;;;;64385
;Gräbenweg;ungerade;1;;3;;;;;;;;;64385
;Guldenstraße;ungerade;1;;25;;;;;;;;;64385
;Gumpener Straße;ungerade;1;;63;;;;;;;;;64385
;Gutleutstraße;ungerade;1;;7;;;;;;;;;64385
;Heidelberger Straße;ungerade;1;;101;;;;;;;;;64385
;Heinrichstraße;ungerade;1;;7;;;;;;;;;64385
;Helene-Göttmann-Straße;ungerade;1;;17;;;;;;;;;64385
