Gemeindeschlüssel;Gemeinde;Postleitzahl (von);Postleitzahl (bis)
06634027;Bad Zwesten;34596;34596
06634001;Borken (Hessen);34582;34582
06634002;Edermünde;34295;34295
06634003;Felsberg;34587;34587
06634004;Frielendorf;34621;34621
06634005;Fritzlar;34560;34560
06634006;Gilserberg;34630;34630
06634007;Gudensberg;34281;34281
06634008;Guxhagen ;34302;34302
06634009;Homberg (Efze);34576;34576
06634010;Jesberg;34632;34632
06634011;Knüllwald;34593;34593
06634012;Körle;34327;34327
06634013;Malsfeld;34323;34323
06634014;Melsungen;34212;34212
06634015;Morschen;34326;34326
06634016;Neuental;34599;34599
06634017;Neukirchen;34626;34626
06634018;Niedenstein;34305;34305
06634019;Oberaula;36280;36280
06634020;Ottrau;34633;34633
06634021;Schrecksbach;34637;34637
06634022;Schwalmstadt;34613;34613
06634023;Schwarzenborn;34639;34639
06634024;Spangenberg;34286;34286
06634025;Wabern;34590;34590
06634026;Willingshausen;34628;34628
