Straßennummer;Straßenname;Folge;Hausnr. (von);Zusatz zur Hausnr (von);Hausnr. (bis);Zusatz zur Hausnr (bis);Ortsbezirk;Stadtteil Name;Stadtbezirk;Stadtbezirksvorst;Schiedsleutebezirk;Sozialrathaus Name;Polizeirevier;Postleitzahl
;Akazienweg;;;;;;;Bad Zwesten;;;;;;34596
;Altenburgweg;;;;;;;Bad Zwesten;;;;;;34596
;Am Betzigeröder Weg;;;;;;;Bad Zwesten;;;;;;34596
;Am Büschelchen;;;;;;;Bad Zwesten;;;;;;34596
;Am Campingplatz;;;;;;;Bad Zwesten;;;;;;34596
;Am Graben;;;;;;;Bad Zwesten;;;;;;34596
;Am Gänseacker;;;;;;;Bad Zwesten;;;;;;34596
;Am Hammer;;;;;;;Bad Zwesten;;;;;;34596
;Am Koch;;;;;;;Bad Zwesten;;;;;;34596
;Am Rottacker;;;;;;;Bad Zwesten;;;;;;34596
;Am Sportfeld;;;;;;;Bad Zwesten;;;;;;34596
;Amselweg;;;;;;;Bad Zwesten;;;;;;34596
;An den Linngärten;;;;;;;Bad Zwesten;;;;;;34596
;An der Tromme;;;;;;;Bad Zwesten;;;;;;34596
;An der Urff;;;;;;;Bad Zwesten;;;;;;34596
;Auf der Freiheit;;;;;;;Bad Zwesten;;;;;;34596
;Bachstraße;;;;;;;Bad Zwesten;;;;;;34596
;Badeweg;;;;;;;Bad Zwesten;;;;;;34596
;Bergfreiheiter Str.;;;;;;;Bad Zwesten;;;;;;34596
;Bergstraße;;;;;;;Bad Zwesten;;;;;;34596
;Birkenweg;;;;;;;Bad Zwesten;;;;;;34596
;Blumenweg;;;;;;;Bad Zwesten;;;;;;34596
;Brunnenstraße;;;;;;;Bad Zwesten;;;;;;34596
;Brüder-Grimm-Straße;;;;;;;Bad Zwesten;;;;;;34596
;Bubenhäuser Straße;;;;;;;Bad Zwesten;;;;;;34596
;Burgweg;;;;;;;Bad Zwesten;;;;;;34596
;Chaumont-Allee;;;;;;;Bad Zwesten;;;;;;34596
;Ebersbergstraße;;;;;;;Bad Zwesten;;;;;;34596
;Eichendorffweg;;;;;;;Bad Zwesten;;;;;;34596
;Eichenweg;;;;;;;Bad Zwesten;;;;;;34596
;Eichwaldstraße;;;;;;;Bad Zwesten;;;;;;34596
;Fasanenweg;;;;;;;Bad Zwesten;;;;;;34596
;Finkengasse;;;;;;;Bad Zwesten;;;;;;34596
;Fliederweg;;;;;;;Bad Zwesten;;;;;;34596
;Fontanestraße;;;;;;;Bad Zwesten;;;;;;34596
;Frankfurter Straße;;;;;;;Bad Zwesten;;;;;;34596
;Fritzlarer Straße;;;;;;;Bad Zwesten;;;;;;34596
;Gartenstraße;;;;;;;Bad Zwesten;;;;;;34596
;Gartenweg;;;;;;;Bad Zwesten;;;;;;34596
;Goethestraße;;;;;;;Bad Zwesten;;;;;;34596
;Grüner Weg;;;;;;;Bad Zwesten;;;;;;34596
;Hainstraße;;;;;;;Bad Zwesten;;;;;;34596
;Hardtstraße;;;;;;;Bad Zwesten;;;;;;34596
;Haselhecke;;;;;;;Bad Zwesten;;;;;;34596
;Hauptstraße;;;;;;;Bad Zwesten;;;;;;34596
;Heideweg;;;;;;;Bad Zwesten;;;;;;34596
;Heinrich-Heine-Str.;;;;;;;Bad Zwesten;;;;;;34596
;Hessenweg;;;;;;;Bad Zwesten;;;;;;34596
;Hinterstraße;;;;;;;Bad Zwesten;;;;;;34596
;Höhlenweg;;;;;;;Bad Zwesten;;;;;;34596
;Im Birkengarten;;;;;;;Bad Zwesten;;;;;;34596
;Im Bodenfeld;;;;;;;Bad Zwesten;;;;;;34596
;Im Grund;;;;;;;Bad Zwesten;;;;;;34596
;Im Oberdorf;;;;;;;Bad Zwesten;;;;;;34596
;In der Ecke;;;;;;;Bad Zwesten;;;;;;34596
;Kasseler Straße;;;;;;;Bad Zwesten;;;;;;34596
;Keilmühle;;;;;;;Bad Zwesten;;;;;;34596
;Kirchfeld;;;;;;;Bad Zwesten;;;;;;34596
;Kirchweg;;;;;;;Bad Zwesten;;;;;;34596
;Kirschweg;;;;;;;Bad Zwesten;;;;;;34596
;Kleine Gasse;;;;;;;Bad Zwesten;;;;;;34596
;Leomühle;;;;;;;Bad Zwesten;;;;;;34596
;Lerchenweg;;;;;;;Bad Zwesten;;;;;;34596
;Lindenstraße;;;;;;;Bad Zwesten;;;;;;34596
;Lohweg;;;;;;;Bad Zwesten;;;;;;34596
;Mittelweg;;;;;;;Bad Zwesten;;;;;;34596
;Mühlenweg;;;;;;;Bad Zwesten;;;;;;34596
;Mühlstraße;;;;;;;Bad Zwesten;;;;;;34596
;Neue Fahrt;;;;;;;Bad Zwesten;;;;;;34596
;Neuer Weg;;;;;;;Bad Zwesten;;;;;;34596
;Nordstraße;;;;;;;Bad Zwesten;;;;;;34596
;Oberurffer Straße;;;;;;;Bad Zwesten;;;;;;34596
;Oststraße;;;;;;;Bad Zwesten;;;;;;34596
;Ottomühle;;;;;;;Bad Zwesten;;;;;;34596
;Parkstraße;;;;;;;Bad Zwesten;;;;;;34596
;Pflichthaus;;;;;;;Bad Zwesten;;;;;;34596
;Querstraße;;;;;;;Bad Zwesten;;;;;;34596
;Raiffeisenweg;;;;;;;Bad Zwesten;;;;;;34596
;Ringstraße;;;;;;;Bad Zwesten;;;;;;34596
;Rosenstraße;;;;;;;Bad Zwesten;;;;;;34596
;Sandkaute;;;;;;;Bad Zwesten;;;;;;34596
;Scheidtweg;;;;;;;Bad Zwesten;;;;;;34596
;Schiffelborner Str.;;;;;;;Bad Zwesten;;;;;;34596
;Schloßbergstraße;;;;;;;Bad Zwesten;;;;;;34596
;Schloßweg;;;;;;;Bad Zwesten;;;;;;34596
;Schulstraße;;;;;;;Bad Zwesten;;;;;;34596
;Schöne Aussicht;;;;;;;Bad Zwesten;;;;;;34596
;Südstraße;;;;;;;Bad Zwesten;;;;;;34596
;Talstraße;;;;;;;Bad Zwesten;;;;;;34596
;Tannenstraße;;;;;;;Bad Zwesten;;;;;;34596
;Tannenweg;;;;;;;Bad Zwesten;;;;;;34596
;Turmweg;;;;;;;Bad Zwesten;;;;;;34596
;Ulmenweg;;;;;;;Bad Zwesten;;;;;;34596
;Urffstraße;;;;;;;Bad Zwesten;;;;;;34596
;Vor dem Tore;;;;;;;Bad Zwesten;;;;;;34596
;Weststraße;;;;;;;Bad Zwesten;;;;;;34596
;Wiesengrund;;;;;;;Bad Zwesten;;;;;;34596
;Wiesenweg;;;;;;;Bad Zwesten;;;;;;34596
;Wildunger Straße;;;;;;;Bad Zwesten;;;;;;34596
;Willi-Koch-Straße;;;;;;;Bad Zwesten;;;;;;34596
;Wolfsgasse;;;;;;;Bad Zwesten;;;;;;34596
;Ziegenhainer Straße;;;;;;;Bad Zwesten;;;;;;34596
;Ziergartenstraße;;;;;;;Bad Zwesten;;;;;;34596
;Zum Hopfengarten;;;;;;;Bad Zwesten;;;;;;34596
;Zum Kurpark;;;;;;;Bad Zwesten;;;;;;34596
;Zum Köpfchen;;;;;;;Bad Zwesten;;;;;;34596
;Zum Treisberg;;;;;;;Bad Zwesten;;;;;;34596
;Zur Weidelache;;;;;;;Bad Zwesten;;;;;;34596
;Über d. Runden Hecke;;;;;;;Bad Zwesten;;;;;;34596
;Über der Siege;;;;;;;Bad Zwesten;;;;;;34596
;Aeschenweg;;;;;;;Borken (Hessen);;;;;;34582
;Ahornweg;;;;;;;Borken (Hessen);;;;;;34582
;Akazienweg;;;;;;;Borken (Hessen);;;;;;34582
;Albert-Einstein-Straße;;;;;;;Borken (Hessen);;;;;;34582
;Alfred-Nobel-Straße;;;;;;;Borken (Hessen);;;;;;34582
;Alte Lembacher Str.;;;;;;;Borken (Hessen);;;;;;34582
;Alte Pfarrstraße;;;;;;;Borken (Hessen);;;;;;34582
;Altenburgplatz;;;;;;;Borken (Hessen);;;;;;34582
;Altenburgstraße;;;;;;;Borken (Hessen);;;;;;34582
;Am Alten Hof;;;;;;;Borken (Hessen);;;;;;34582
;Am Amtsgericht;;;;;;;Borken (Hessen);;;;;;34582
;Am Bach;;;;;;;Borken (Hessen);;;;;;34582
;Am Bahndamm;;;;;;;Borken (Hessen);;;;;;34582
;Am Bahnhof;;;;;;;Borken (Hessen);;;;;;34582
;Am Baumsacker;;;;;;;Borken (Hessen);;;;;;34582
;Am Berg;;;;;;;Borken (Hessen);;;;;;34582
;Am Bickelacker;;;;;;;Borken (Hessen);;;;;;34582
;Am Bleichgarten;;;;;;;Borken (Hessen);;;;;;34582
;Am Bornpfad;;;;;;;Borken (Hessen);;;;;;34582
;Am Brachfeld;;;;;;;Borken (Hessen);;;;;;34582
;Am Brückchen;;;;;;;Borken (Hessen);;;;;;34582
