Gemeindeschlüssel;Gemeinde;Postleitzahl (von);Postleitzahl (bis)
6414000;Wiesbaden;55246;55246
6414000;Wiesbaden;55252;55252
6414000;Wiesbaden;65183;65183
6414000;Wiesbaden;65185;65185
6414000;Wiesbaden;65187;65187
6414000;Wiesbaden;65189;65189
6414000;Wiesbaden;65191;65191
6414000;Wiesbaden;65193;65193
6414000;Wiesbaden;65195;65195
6414000;Wiesbaden;65197;65197
6414000;Wiesbaden;65199;65199
6414000;Wiesbaden;65201;65201
6414000;Wiesbaden;65203;65203
6414000;Wiesbaden;65205;65205
6414000;Wiesbaden;65207;65207
