Straßennummer;Straßenname;Folge;Hausnr. (von);Zusatz zur Hausnr (von);Hausnr. (bis);Zusatz zur Hausnr (bis);Ortsbezirk;Stadtteil Name;Stadtbezirk;Stadtbezirksvorst;Schiedsleutebezirk;Sozialrathaus Name;Polizeirevier;Postleitzahl
1;Aarstraße;ungerade;1;;87;;2;Nordost;;;;;;65195
1;Aarstraße;gerade;2;;76;;2;Nordost;;;;;;65195
2;Abeggstraße;;;;;;2;Nordost;;;;;;65193
3343;Abraham-Lincoln-Park;;;;;;3;Südost;;;;;;65189
1407;Abraham-Lincoln-Straße;;;;;;3;Südost;;;;;;65189
3327;Abtsweinberg WP;;;;;;27;Schierstein;;;;;;65201
4;Adalbert-Stifter-Straße;;;;;;11;Sonnenberg;;;;;;65193
3314;Adamstal Hausgruppe;;;;;;2;Nordost;;;;;;65195
6;Adelheidstraße;gerade;2;;44;;1;Mitte;;;;;;65185
6;Adelheidstraße;ungerade;11;;51;;1;Mitte;;;;;;65185
6;Adelheidstraße;gerade;50;;96;;1;Mitte;;;;;;65185
6;Adelheidstraße;ungerade;53;;105;;1;Mitte;;;;;;65185
7;Adlerstraße;ungerade;3;;73;;1;Mitte;;;;;;65183
7;Adlerstraße;gerade;8;;70;;1;Mitte;;;;;;65183
7;Adlerstraße;gerade;74;;78;;2;Nordost;;;;;;65193
7;Adlerstraße;ungerade;77;;93;;2;Nordost;;;;;;65193
5001;Admiral-Scheer-Straße;;;;;;52;Mz-Kastel;;;;;;55252
3675;Adolf-Lupp-Platz;;;;;;28;Frauenstein;;;;;;65201
638;Adolf-Schneider-Straße;;;;;;21;Rambach;;;;;;65207
15;Adolf-Todt-Straße;;;;;;14;Biebrich;;;;;;65203
8;Adolfinenstraße;;;;;;16;Dotzheim;;;;;;65199
10;Adolfsallee;;;;;;1;Mitte;;;;;;65185
11;Adolfsberg;;;;;;2;Nordost;;;;;;65193
12;Adolfsgässchen;;;;;;14;Biebrich;;;;;;65203
14;Adolfstraße;;;;;;1;Mitte;;;;;;65185
16;Äppelallee;gerade;4;;18;;14;Biebrich;;;;;;65203
16;Äppelallee;ungerade;19;;45;;14;Biebrich;;;;;;65203
16;Äppelallee;gerade;44;;44;;14;Biebrich;;;;;;65203
16;Äppelallee;ungerade;47;;61;;14;Biebrich;;;;;;65203
16;Äppelallee;gerade;48;;94;;14;Biebrich;;;;;;65203
16;Äppelallee;ungerade;69;;69;;14;Biebrich;;;;;;65203
16;Äppelallee;gerade;98;;100;;14;Biebrich;;;;;;65203
16;Äppelallee;gerade;110;;116;;27;Schierstein;;;;;;65203
2547;Ahornstraße;;;;;;34;Breckenheim;;;;;;65207
17;Ahornweg;;;;;;2;Nordost;;;;;;65193
18;Akazienstraße;;;;;;14;Biebrich;;;;;;65187
2548;Akazienweg;;;;;;26;Delkenheim;;;;;;65205
19;Alban-Köhler-Straße;;;;;;12;Bierstadt;;;;;;65191
20;Albert-Schweitzer-Allee;;;;;;14;Biebrich;;;;;;65203
