Straßennummer;Straßenname;Folge;Hausnr. (von);Zusatz zur Hausnr (von);Hausnr. (bis);Zusatz zur Hausnr (bis);Ortsbezirk;Stadtteil Name;Stadtbezirk;Stadtbezirksvorst;Schiedsleutebezirk;Sozialrathaus Name;Polizeirevier;Postleitzahl
3083;Abflugring (Flughafen Ffm.)*;;;;;;5;Flughafen;327;05.34;5A;Sachsenhausen;19;60549
3083;Abflugring (Flughafen Ffm.)*;;;;;;5;Flughafen;328;05.34;5A;Sachsenhausen;19;60549
3083;Abflugring (Flughafen Ffm.)*;;;;;;5;Flughafen;329;05.34;5A;Sachsenhausen;19;60549
1;Abtsgäßchen;;;;;;5;Sachsenhausen-N.;300;05.31;5A;Sachsenhausen;8;60594
2;Achenbachstraße;;;;;;5;Sachsenhausen-N.;322;05.33;5A;Sachsenhausen;8;60596
3;Ackermannstraße;;;;;;1;Gallus;154;01.05;1;Gallus;16;60326
4;Adalbert-Stifter-Straße;ungerade;;;;;9;Ginnheim;441;09.67;9;Nord;12;60431
4;Adalbert-Stifter-Straße;gerade;;;;;9;Dornbusch;442;09.68;9;Dornbusch;12;60431
5;Adalbertstraße;ungerade;;;;;2;Bockenheim;341;02.13;2;Bockenheim;13;60486
5;Adalbertstraße;gerade;;;;;2;Bockenheim;350;02.13;2;Bockenheim;13;60486
3229;Adam-Heinstadt-Straße;;;;;;15;Nieder-Eschbach;670;15.82;15;Nord;14;60437
3075;Adam-Leis-Straße;;;;;;8;Heddernheim;431;08.61;8;Nord;14;60439
6;Adam-Opel-Straße;;;;;;11;Fechenheim;510;11.77;11;Ost;18;60386
3449;Adam-Riese-Platz;;;;;;1;Gallus;152;01.06;1;Gallus;4;60327
3448;Adam-Riese-Straße;;;;;;1;Gallus;152;01.06;1;Gallus;4;60327
7;Adelheidstraße;;;;;;9;Dornbusch;462;09.69;9;Dornbusch;12;60433
8;Adelonstraße;;;;;;6;Höchst;570;06.44;6C;Höchst;17;65929
9;Adickesallee;ungerade;;;;;3;Nordend-West;203;03.16;3;Dornbusch;3;60322
9;Adickesallee;gerade;32;;40;;3;Nordend-West;202;03.16;3;Dornbusch;3;60322
9;Adickesallee;gerade;42;;;;3;Nordend-West;202;03.16;3;Dornbusch;12;60322
9;Adickesallee;gerade;44;;;;3;Nordend-West;202;03.16;3;Dornbusch;12;60320
9;Adickesallee;gerade;50;;70;;3;Nordend-West;202;03.16;3;Dornbusch;3;60322
10;Adlerflychtplatz;;;;;;3;Nordend-West;201;03.21;3;Dornbusch;3;60318
11;Adlerflychtstraße;;;;;;3;Nordend-West;201;03.21;3;Dornbusch;3;60318
3260;Adlhochplatz;;;;;;5;Sachsenhausen-N.;324;05.32;5A;Sachsenhausen;8;60594
12;Adolf-Haeuser-Straße;;;;;;6;Höchst;591;06.46;6C;Höchst;17;65929
2963;Adolf-Leweke-Straße;;;;;;10;Eckenheim;461;10.72;10;Dornbusch;12;60435
3660;Adolf-Meyer-Straße;;;;;;12;Kalbach-Riedberg;651;12.79;12;Nord;14;60438
13;Adolf-Miersch-Straße;;;;;;5;Niederrad;372;05.36;5B;Sachsenhausen;10;60528
14;Adolf-Reichwein-Straße;;;;;;9;Dornbusch;462;09.69;9;Dornbusch;12;60320
15;Adolfstraße;;;;;;5;Niederrad;372;05.36;5B;Sachsenhausen;10;60528
3197;Adolph-Prior-Straße;;;;;;6;Sossenheim;632;06.54;6C;Höchst;17;65936
16;Adolph-von-Holzhausen-Park;;;;;;3;Nordend-West;203;03.16;3;Dornbusch;3;60322
18;Affentorplatz;ungerade;1;;;;5;Sachsenhausen-N.;300;05.31;5A;Sachsenhausen;8;60594
18;Affentorplatz;ungerade;5;;7;;5;Sachsenhausen-N.;331;05.31;5A;Sachsenhausen;8;60594
18;Affentorplatz;gerade;;;;;5;Sachsenhausen-N.;300;05.31;5A;Sachsenhausen;8;60594
19;Ahornstraße;;;;;;6;Griesheim;552;06.41;6A;Gallus;16;65933
17;Ährenstraße;;;;;;1;Gutleutviertel;151;01.04;1;Gallus;4;60327
20;Ahrtalstraße;;;;;;6;Schwanheim;531;06.38;6A;Sachsenhausen;10;60529
3016;Airportring;;;;;;5;Flughafen;329;05.34;5A;Sachsenhausen;19;60549
21;Akazienstraße;;;;;;6;Griesheim;552;06.41;6A;Gallus;16;65933
22;Albanusstraße;;;;;;6;Höchst;591;06.46;6C;Höchst;17;65929
23;Albert-Blank-Straße;;;;;;6;Sindlingen;602;06.48;6B;Höchst;17;65931
2752;Albert-Einstein-Straße;;;;;;15;Nieder-Eschbach;670;15.82;15;Nord;14;60437
24;Albert-Linel-Straße;;;;;;2;Bockenheim;163;02.15;2;Bockenheim;13;60486
2736;Albert-Schweitzer-Straße;;;;;;15;Nieder-Eschbach;670;15.82;15;Nord;14;60437
25;Albusstraße;;;;;;1;Innenstadt;070;01.01;1;Ost;1;60313
26;Alemannenweg;;;;;;6;Unterliederbach;622;06.52;6C;Höchst;17;65929
3118;Alexander-Riese-Weg;ungerade;;;;;8;Heddernheim;431;08.61;8;Nord;14;60439
3118;Alexander-Riese-Weg;gerade;;;;;9;Eschersheim;451;09.65;9;Dornbusch;12;60439
3753;Alexander-Todd-Straße;;;;;;8;Niederursel;484;08.63;8;Nord;14;60438
27;Alexanderstraße;ungerade;1;;29;;7;Rödelheim;402;07.56;7;Bockenheim;11;60489
27;Alexanderstraße;ungerade;31;;97;;7;Rödelheim;401;07.55;7;Bockenheim;11;60489
27;Alexanderstraße;gerade;2;;34;;7;Rödelheim;402;07.56;7;Bockenheim;11;60489
27;Alexanderstraße;gerade;36;;126;;7;Rödelheim;401;07.55;7;Bockenheim;11;60489
28;Alfred-Brehm-Platz;;;;;;4;Ostend;140;04.26;4;Ost;5;60316
3035;Alfred-Delp-Straße;;;;;;5;Sachsenhausen-S.;332;05.29;5A;Sachsenhausen;8;60599
2834;Alfred-Göbel-Weg;;;;;;16;Bergen-Enkheim;680;16.83;16;Ost;18;60388
3499;Alfred-Kiefer-Weg;;;;;;6;Schwanheim;532;06.37;6A;Sachsenhausen;10;60529
3681;Alfred-Pfaff-Straße;;;;;;11;Seckbach;390;11.75;11;Ost;18;60386
3416;Alfred-Wegener-Straße;;;;;;8;Niederursel;484;08.63;8;Nord;14;60438
3391;Alkmenestraße;;;;;;10;Preungesheim;470;10.73;10;Dornbusch;12;60435
29;Allendorfer Straße;ungerade;1;;23;;9;Dornbusch;462;09.69;9;Dornbusch;12;60433
